timestamp,Marktpreis_deutschland,Marktpreis_Schweiz,Marktpreis_Österreich,Marktpreis_Italien_Nord,Marktpreis_Frankreich
2019-06-04,37.93,35.78,37.73,44.39,35.11
2019-06-05,36.48,34.94,36.09,48.31,33.53
2019-06-06,37.61,33.81,36.96,47.13,26.45
2019-06-07,-42.24,18.16,28.74,39.74,3.68
2019-06-08,22.5,22.09,22.05,28.72,20.03
2019-06-09,31.37,27.93,31.35,44.4,31.26
2019-06-10,44.67,39.5,43.99,45.46,40.33
2019-06-11,44.0,41.11,43.43,47.93,39.48
2019-06-12,38.51,36.19,39.26,46.77,32.44
2019-06-13,41.62,38.13,41.27,44.7,34.5
2019-06-14,30.58,30.61,30.69,32.59,27.79
2019-06-15,31.15,27.84,30.5,34.91,23.77
2019-06-16,41.66,36.0,40.56,45.13,33.4
2019-06-17,42.28,36.01,41.54,52.28,33.77
2019-06-18,41.2,36.81,40.7,53.64,33.26
2019-06-19,36.39,35.67,36.17,52.87,34.66
2019-06-20,38.69,37.89,38.21,45.58,33.89
2019-06-21,31.63,32.34,31.62,39.48,24.31
2019-06-22,20.92,19.53,21.15,34.99,12.01
2019-06-23,34.47,32.13,34.16,44.35,29.73
2019-06-24,40.52,34.87,39.62,47.35,33.54
2019-06-25,38.56,33.95,38.27,57.92,29.33
2019-06-26,35.47,33.05,35.29,65.09,31.25
2019-06-27,43.45,35.25,42.38,54.21,35.02
2019-06-28,33.25,31.81,32.96,46.97,29.18
2019-06-29,15.13,6.75,16.44,40.57,18.61
2019-06-30,32.96,30.38,32.98,61.59,30.13
2019-07-01,33.35,31.98,34.01,63.83,33.95
2019-07-02,34.66,33.94,34.61,60.34,31.82
2019-07-03,33.98,32.43,33.98,55.88,31.28
2019-07-04,35.26,33.46,35.14,54.57,33.83
2019-07-05,29.76,28.6,29.84,47.58,29.34
2019-07-06,24.66,18.69,24.92,41.27,25.44
2019-07-07,35.69,32.79,35.69,50.17,34.74
2019-07-08,37.39,35.73,37.28,52.13,35.63
2019-07-09,41.47,38.42,41.45,50.01,40.47
2019-07-10,45.91,42.61,45.89,51.95,44.11
2019-07-11,45.24,41.05,45.24,53.14,40.92
2019-07-12,37.24,36.13,37.24,44.79,36.44
2019-07-13,35.61,33.01,35.61,38.69,33.04
2019-07-14,41.56,40.2,41.55,50.58,39.6
2019-07-15,42.89,43.4,42.9,46.29,42.9
2019-07-16,45.88,45.54,45.85,47.2,45.22
2019-07-17,43.93,43.12,44.23,46.68,40.97
