date,country,market_price(€/MWh)),gCO2eq/kWh_actual,gCO2eq/kWh_baseline,gCO2eq/kWh_difference
2018-08-14,France,52.87,42.78333023747727,268.28989656571116,0.0
2018-08-15,France,56.23,38.33076892682488,268.27600561114116,0.0
2018-08-16,France,57.93,39.0272249643096,268.26211465657116,0.0
2018-08-17,France,54.88,40.38464883615281,268.24822370200104,0.0
2018-08-18,France,49.9,32.30001581452421,268.23433274743104,0.0
2018-08-19,France,60.55,27.67001054263808,268.22044179286104,0.0
2018-08-20,France,67.36,52.82007871305805,268.2065508382909,0.0
2018-08-21,France,68.02,60.31796621310496,268.1926598837209,0.0
2018-08-22,France,67.33,60.739363297893554,268.1787689291509,0.0
2018-08-23,France,62.15,56.75499710800521,268.16487797458086,0.0
2018-08-24,France,59.24,52.51549757965813,268.1509870200108,0.0
2018-08-25,France,54.76,64.91884087903583,268.1370960654408,0.0
2018-08-27,France,68.24,67.30700845550878,268.1093141563007,0.0
2018-08-28,France,68.3,77.50389330811689,268.0954232017307,0.0
2018-08-29,France,68.19,71.47979969402758,268.0815322471606,0.0
2018-08-30,France,66.88,76.14706181611956,268.06764129259057,0.0
2018-08-31,France,61.64,74.08250068431225,268.05375033802056,0.0
2018-09-01,France,54.39,51.58082433540766,268.0398593834505,0.0
2018-09-02,France,65.23,42.98402985171437,268.02596842888045,0.0
2018-09-03,France,66.94,63.46585469571148,268.01207747431044,0.0
2018-09-04,France,69.41,65.5645697152086,267.9981865197404,0.0
2018-09-05,France,66.96,65.19682403191474,267.9842955651703,0.0
2018-09-06,France,65.1,62.3298005207002,267.9704046106003,0.0
2018-09-07,France,58.84,53.20452256559571,267.95651365603027,0.0
2018-09-08,France,50.71,29.81057628850616,267.9426227014602,0.0
2018-09-09,France,65.74,26.75065315214664,267.9287317468902,0.0
2018-09-10,France,64.11,44.44778371263324,267.9148407923202,0.0
2018-09-11,France,68.3,44.593162901216886,267.9009498377501,0.0
2018-09-12,France,71.1,43.1001982729826,267.8870588831801,0.0
2018-09-13,France,66.25,44.42875405814876,267.8731679286101,0.0
2018-09-14,France,54.83,45.23176453745545,267.85927697404003,0.0
2018-09-15,France,47.29,37.87488548586945,267.84538601946997,0.0
2018-09-16,France,64.94,37.277650246065726,267.83149506489997,0.0
2018-09-17,France,61.84,55.97384443166212,267.8176041103299,0.0
2018-09-18,France,62.46,50.91657728706625,267.80371315575985,0.0
2018-09-19,France,62.13,52.91149386340261,267.78982220118985,0.0
2018-09-20,France,59.24,61.42411302443293,267.7759312466198,0.0
2018-09-21,France,64.95,49.467156281015065,267.76204029204973,0.0
2018-09-22,France,50.24,53.820541047293695,267.74814933747973,0.0
2018-09-23,France,65.67,33.913920230104466,267.7342583829097,0.0
2018-09-24,France,65.31,51.89665189857146,267.7203674283396,0.0
2018-09-25,France,63.64,50.20774818580322,267.7064764737696,0.0
2018-09-27,France,61.72,50.14681700185687,267.6786945646295,0.0
2018-09-28,France,60.03,42.56626053215249,267.6648036100595,0.0
2018-09-29,France,55.75,41.91935738457882,267.65091265548944,0.0
2018-09-30,France,65.05,39.65684748704849,267.6370217009194,0.0
2018-10-01,France,66.27,58.71186188829173,267.6231307463494,0.0
2018-10-02,France,68.71,59.61973380117241,267.6092397917794,0.0
2018-10-03,France,71.5,63.43970098919816,267.59534883720926,0.0
2018-10-04,France,67.39,71.1905019712576,267.58145788263926,0.0
2018-10-05,France,59.17,74.49997637272587,267.56756692806925,0.0
2018-10-06,France,55.45,64.4589606651056,267.5536759734992,0.0
2018-10-07,France,70.23,54.53595907629449,267.53978501892914,0.0
2018-10-08,France,75.2,80.90733076297234,267.52589406435914,0.0
2018-10-09,France,68.04,57.9535315231594,267.5120031097891,0.0
2018-10-10,France,65.31,74.94733671267852,267.498112155219,0.0
2018-10-11,France,61.49,72.17852647966026,267.484221200649,0.0
2018-10-12,France,57.62,68.47049166236891,267.47033024607896,0.0
2018-10-13,France,40.61,57.4276326716538,267.4564392915089,0.0
2018-10-14,France,67.76,41.68813189979803,267.4425483369389,0.0
2018-10-15,France,74.04,60.88162017810957,267.42865738236884,0.0
2018-10-16,France,74.82,75.20002436792848,267.4147664277988,0.0
2018-10-17,France,66.17,82.52264930090594,267.4008754732288,0.0
2018-10-18,France,66.53,78.89778329260508,267.3869845186587,0.0
2018-10-19,France,60.31,72.58348281314359,267.37309356408866,0.0
2018-10-20,France,57.02,73.13648571334573,267.35920260951866,0.0
2018-10-21,France,62.73,48.68871894339747,267.3453116549486,0.0
2018-10-22,France,63.5,61.48322488059321,267.33142070037854,0.0
2018-10-23,France,67.25,64.0489305293849,267.31752974580854,0.0
2018-10-24,France,71.67,75.84974224328626,267.30363879123854,0.0
2018-10-25,France,70.5,82.03770120790921,267.2897478366684,0.0
2018-10-26,France,66.23,89.91556456327366,267.2758568820984,0.0
2018-10-28,France,74.31,63.62615686188471,267.24807497295836,0.0
2018-10-29,France,73.12,74.02473671139767,267.2341840183883,0.0
2018-10-30,France,73.27,76.23497907020061,267.2202930638183,0.0
2018-10-31,France,54.12,81.53832409597037,267.20640210924824,0.0
2018-11-01,France,65.98,58.28153238414213,267.1925111546782,0.0
2018-11-02,France,61.09,71.74711683090071,267.1786202001082,0.0
2018-11-03,France,54.4,74.23190696755371,267.1647292455381,0.0
2018-11-04,France,62.71,70.52603623959575,267.15083829096807,0.0
2018-11-05,France,60.24,75.11444119497006,267.13694733639807,0.0
2018-11-06,France,57.26,74.78787811193959,267.123056381828,0.0
2018-11-07,France,62.96,72.92624405338948,267.10916542725795,0.0
2018-11-08,France,60.52,85.88683483852384,267.09527447268795,0.0
2018-11-09,France,51.09,75.74167680113585,267.0813835181179,0.0
2018-11-10,France,49.9,43.04531849965996,267.06749256354783,0.0
2018-11-11,France,62.88,44.90254000461486,267.05360160897783,0.0
2018-11-12,France,64.74,82.3757979786838,267.03971065440777,0.0
2018-11-13,France,64.47,81.16121123829927,267.0258196998377,0.0
2018-11-14,France,66.38,81.71257967855415,267.0119287452677,0.0
2018-11-15,France,67.3,79.88955207263821,266.9980377906977,0.0
2018-11-16,France,60.27,84.42714375654097,266.9841468361276,0.0
2018-11-17,France,56.91,63.9220760694223,266.9702558815576,0.0
2018-11-18,France,74.31,63.58293385154386,266.9563649269876,0.0
2018-11-19,France,95.19,94.861893275558,266.94247397241753,0.0
2018-11-20,France,115.13,108.35817635471356,266.9285830178475,0.0
2018-11-21,France,102.22,107.45880844995143,266.91469206327747,0.0
2018-11-22,France,84.76,103.92605929645048,266.9008011087074,0.0
2018-11-23,France,66.47,94.99893948068764,266.88691015413735,0.0
2018-11-24,France,59.43,97.01784786724828,266.87301919956735,0.0
2018-11-25,France,89.12,87.3378841662416,266.8591282449973,0.0
2018-11-26,France,77.5,96.71718748507892,266.84523729042724,0.0
2018-11-27,France,62.24,87.44004690245355,266.83134633585723,0.0
2018-11-28,France,62.38,76.74659765521207,266.8174553812872,0.0
2018-11-29,France,62.18,66.36653427790277,266.8035644267171,0.0
2018-11-30,France,58.06,67.9187433431785,266.7896734721471,0.0
2018-12-01,France,45.5,71.4803481051722,266.77578251757706,0.0
2018-12-02,France,51.99,37.73613741817,266.761891563007,0.0
2018-12-03,France,60.35,59.25865180921469,266.748000608437,0.0
2018-12-04,France,59.63,73.44118438662532,266.73410965386694,0.0
2018-12-05,France,57.59,75.11542307884739,266.7202186992969,0.0
2018-12-06,France,48.66,73.90288210559639,266.7063277447269,0.0
2018-12-07,France,29.13,50.24815655834387,266.6924367901569,0.0
2018-12-08,France,25.63,34.35490801008315,266.67854583558676,0.0
2018-12-09,France,50.98,34.96398538907152,266.66465488101676,0.0
2018-12-10,France,62.32,69.68586424675105,266.65076392644676,0.0
2018-12-11,France,71.01,77.07121302476423,266.6368729718767,0.0
2018-12-12,France,69.83,71.03720625247638,266.62298201730664,0.0
2018-12-13,France,75.34,63.12310820856075,266.60909106273664,0.0
2018-12-14,France,61.3,71.32379025801185,266.5952001081666,0.0
2018-12-15,France,57.29,65.32534183568977,266.5813091535965,0.0
2018-12-16,France,70.05,50.39310017968865,266.5674181990265,0.0
2018-12-17,France,61.92,62.51953060108582,266.55352724445646,0.0
2018-12-18,France,61.12,61.11607037143362,266.5396362898864,0.0
2018-12-19,France,59.46,58.15861605350685,266.5257453353164,0.0
2018-12-20,France,53.95,57.81547240679469,266.51185438074634,0.0
2018-12-21,France,44.58,41.08670795023081,266.4979634261763,0.0
2018-12-22,France,45.36,37.25216104774954,266.4840724716063,0.0
2018-12-23,France,50.33,36.41888065617159,266.4701815170362,0.0
2018-12-24,France,39.29,38.280022956808274,266.45629056246617,0.0
2018-12-25,France,52.69,37.04423387491436,266.44239960789616,0.0
2018-12-26,France,61.51,45.17170978516513,266.4285086533261,0.0
2018-12-27,France,60.84,69.96513760206116,266.41461769875605,0.0
2018-12-28,France,53.45,73.14613318677377,266.40072674418604,0.0
2018-12-29,France,47.33,50.18489090710409,266.38683578961604,0.0
2018-12-30,France,55.32,40.73527984347414,266.3729448350459,0.0
2018-12-31,France,41.24,51.29836339175132,266.3590538804759,0.0
2019-01-01,France,54.27,38.40470872717475,266.3451629259059,0.0
2019-01-02,France,61.25,57.2608023952025,266.33127197133587,0.0
2019-01-03,France,64.93,62.46930835998591,266.3173810167658,0.0
2019-01-04,France,62.66,70.68946855970508,266.3034900621958,0.0
2019-01-05,France,55.61,76.11369117383552,266.28959910762575,0.0
2019-01-06,France,62.78,74.33648199968103,266.2757081530557,0.0
2019-01-07,France,57.8,72.0596398685175,266.2618171984857,0.0
2019-01-08,France,57.76,66.54061876552966,266.24792624391563,0.0
2019-01-09,France,69.23,62.592212192575055,266.23403528934557,0.0
2019-01-10,France,65.34,76.85039631724831,266.22014433477557,0.0
2019-01-11,France,53.54,84.35523525251112,266.2062533802055,0.0
2019-01-12,France,46.28,72.55118581636533,266.19236242563545,0.0
2019-01-13,France,56.65,40.07161848608517,266.17847147106545,0.0
2019-01-14,France,60.94,69.98553732103579,266.1645805164954,0.0
2019-01-15,France,62.7,79.60644660497461,266.15068956192533,0.0
2019-01-16,France,61.56,77.86945351862506,266.13679860735533,0.0
2019-01-17,France,66.68,78.17155249767268,266.1229076527853,0.0
2019-01-18,France,63.87,89.16299205384298,266.1090166982152,0.0
2019-01-19,France,61.54,84.78343187227219,266.0951257436452,0.0
2019-01-20,France,71.51,84.32170311182473,266.0812347890752,0.0
2019-01-21,France,72.32,86.31837354125734,266.0673438345051,0.0
2019-01-22,France,76.07,86.46533636092063,266.0534528799351,0.0
2019-01-23,France,85.94,87.1472552893701,266.0395619253651,0.0
2019-01-24,France,69.53,89.5139677058228,266.02567097079503,0.0
2019-01-25,France,54.39,84.22371411383764,266.011780016225,0.0
2019-01-26,France,40.53,66.51468367301165,265.997889061655,0.0
2019-01-27,France,55.89,41.40825393433183,265.9839981070849,0.0
2019-01-28,France,62.67,68.35405068048578,265.97010715251486,0.0
2019-01-29,France,59.18,76.43347105592525,265.95621619794485,0.0
2019-01-30,France,61.13,78.56234860988903,265.9423252433748,0.0
2019-01-31,France,59.49,80.92842852227123,265.92843428880474,0.0
2019-02-01,France,50.21,76.05484707533485,265.91454333423474,0.0
2019-02-02,France,47.78,62.92415082347847,265.9006523796647,0.0
2019-02-03,France,57.23,56.17621948853273,265.8867614250946,0.0
2019-02-04,France,58.36,77.2039271530114,265.8728704705246,0.0
2019-02-05,France,52.99,83.80292150587601,265.85897951595456,0.0
2019-02-06,France,48.21,78.91241846099072,265.8450885613845,0.0
2019-02-07,France,47.39,63.21697616116048,265.8311976068145,0.0
2019-02-08,France,33.78,53.129952939080006,265.81730665224444,0.0
2019-02-09,France,32.09,41.406744509649705,265.8034156976744,0.0
2019-02-10,France,47.13,41.10569099365407,265.7895247431044,0.0
2019-02-11,France,51.39,69.17243806539446,265.7756337885344,0.0
2019-02-12,France,49.7,82.33903145513018,265.76174283396426,0.0
2019-02-13,France,50.45,73.50085503488035,265.74785187939426,0.0
2019-02-14,France,48.85,75.69798821158324,265.73396092482426,0.0
2019-02-15,France,44.03,70.46076925015895,265.72006997025414,0.0
2019-02-16,France,39.67,53.28600879352285,265.70617901568414,0.0
2019-02-17,France,47.02,39.95223823985509,265.69228806111414,0.0
2019-02-18,France,47.02,62.72964514870159,265.6783971065441,0.0
2019-02-19,France,47.16,70.36218164587432,265.664506151974,0.0
2019-02-20,France,47.03,70.71527018495729,265.650615197404,0.0
2019-02-21,France,47.02,67.97052135048058,265.63672424283396,0.0
2019-02-22,France,40.06,68.4389623893114,265.6228332882639,0.0
2019-02-23,France,39.64,45.5359104447296,265.6089423336939,0.0
2019-02-24,France,44.44,47.44816339169029,265.59505137912384,0.0
2019-02-25,France,43.75,66.31924676237249,265.5811604245538,0.0
2019-02-26,France,43.43,75.09526627116563,265.5672694699838,0.0
2019-02-27,France,40.09,70.54878945658383,265.5533785154137,0.0
2019-02-28,France,44.35,46.00794931011323,265.53948756084367,0.0
2019-03-01,France,40.71,56.11937652918306,265.52559660627367,0.0
2019-03-02,France,17.88,38.9924553617246,265.5117056517036,0.0
2019-03-03,France,29.23,39.358738943337706,265.49781469713355,0.0
2019-03-04,France,40.41,35.68145920728614,265.48392374256355,0.0
2019-03-05,France,35.98,42.43890842481533,265.47003278799355,0.0
2019-03-06,France,32.65,37.12756217803396,265.45614183342343,0.0
2019-03-07,France,40.03,34.934521901884416,265.44225087885343,0.0
2019-03-08,France,24.03,39.77613463877616,265.4283599242834,0.0
2019-03-09,France,18.29,37.43967492681716,265.4144689697133,0.0
2019-03-10,France,39.28,37.67785718350402,265.4005780151433,0.0
2019-03-11,France,39.41,41.605990175285086,265.3866870605733,0.0
2019-03-12,France,28.88,39.556251101436125,265.37279610600325,0.0
2019-03-13,France,35.13,34.74422568370594,265.3589051514332,0.0
2019-03-14,France,29.85,36.65517161534443,265.3450141968632,0.0
2019-03-15,France,17.75,34.96640899244555,265.33112324229313,0.0
2019-03-16,France,8.76,37.05341018046434,265.3172322877231,0.0
2019-03-17,France,38.6,41.032887377789166,265.30334133315307,0.0
2019-03-18,France,45.31,58.25597596157219,265.289450378583,0.0
2019-03-19,France,41.96,72.15165498736775,265.27555942401295,0.0
2019-03-20,France,39.93,72.67064457554291,265.26166846944295,0.0
2019-03-21,France,40.45,67.62173438718962,265.2477775148729,0.0
2019-03-22,France,35.6,70.44656745724957,265.23388656030284,0.0
2019-03-23,France,33.35,45.49665222556322,265.21999560573283,0.0
2019-03-24,France,33.86,39.89202339782025,265.2061046511628,0.0
2019-03-25,France,37.29,42.206403204336894,265.1922136965927,0.0
2019-03-26,France,39.97,49.66281794948231,265.1783227420227,0.0
2019-03-27,France,40.48,62.11836276966511,265.1644317874527,0.0
2019-03-28,France,39.34,69.09575086818151,265.1505408328826,0.0
2019-03-29,France,34.05,65.72666147948533,265.1366498783126,0.0
2019-03-30,France,26.68,43.262891111295545,265.1227589237426,0.0
2019-03-31,France,36.67,40.583183334434246,265.1088679691725,0.0
2019-04-01,France,35.73,39.253326429085575,265.0949770146025,0.0
2019-04-02,France,42.93,36.26442019249457,265.0810860600325,0.0
2019-04-03,France,43.8,55.57292086699526,265.0671951054624,0.0
2019-04-04,France,43.53,59.0438136797646,265.05330415089236,0.0
2019-04-05,France,39.13,58.49840095688098,265.03941319632236,0.0
2019-04-06,France,38.37,38.71307358634558,265.0255222417523,0.0
2019-04-07,France,45.42,24.900739058657997,265.01163128718224,0.0
2019-04-08,France,42.72,49.25200997528079,264.99774033261224,0.0
2019-04-09,France,44.07,46.37779328413451,264.9838493780422,0.0
2019-04-10,France,44.74,47.79052481335837,264.9699584234721,0.0
2019-04-11,France,44.9,44.96107827476568,264.9560674689021,0.0
2019-04-12,France,42.95,58.54405255267332,264.94217651433206,0.0
2019-04-13,France,41.57,39.761650034407744,264.928285559762,0.0
2019-04-14,France,46.91,37.122510901975545,264.914394605192,0.0
2019-04-15,France,45.25,53.87649289831624,264.90050365062194,0.0
2019-04-16,France,42.26,60.63068733373222,264.8866126960519,0.0
2019-04-17,France,41.55,58.75928636502088,264.8727217414819,0.0
2019-04-18,France,36.3,43.46926840046781,264.8588307869119,0.0
2019-04-19,France,30.31,26.967298533293658,264.84493983234177,0.0
2019-04-20,France,30.88,24.72773150432006,264.83104887777176,0.0
2019-04-21,France,10.86,25.017538424614223,264.81715792320176,0.0
2019-04-22,France,26.94,26.41339204504712,264.80326696863165,0.0
2019-04-23,France,33.39,25.1410388878452,264.78937601406165,0.0
2019-04-24,France,28.66,22.99035430491106,264.77548505949164,0.0
2019-04-25,France,39.97,22.9490049134472,264.7615941049216,0.0
2019-04-26,France,24.26,32.30575246129289,264.7477031503515,0.0
2019-04-27,France,33.46,23.73259475017252,264.7338121957815,0.0
2019-04-28,France,42.06,25.933604950154265,264.71992124121147,0.0
2019-04-29,France,42.85,44.58657750162648,264.7060302866414,0.0
2019-04-30,France,28.34,49.43336122945831,264.6921393320714,0.0
2019-05-02,France,40.78,37.83900633574377,264.6643574229313,0.0
2019-05-03,France,38.57,46.116745466752405,264.6504664683613,0.0
2019-05-04,France,31.33,25.980962067122224,264.63657551379123,0.0
2019-05-05,France,44.76,24.77401453249513,264.62268455922117,0.0
2019-05-06,France,50.02,48.07961566990392,264.60879360465117,0.0
2019-05-07,France,38.4,50.625603190733216,264.5949026500811,0.0
2019-05-08,France,44.66,30.69798390435108,264.58101169551105,0.0
2019-05-09,France,44.88,43.88858033139076,264.56712074094105,0.0
2019-05-10,France,33.34,52.20059975781155,264.55322978637105,0.0
2019-05-11,France,23.53,25.25394997528129,264.53933883180093,0.0
2019-05-12,France,39.21,24.74323064667825,264.52544787723093,0.0
2019-05-13,France,40.57,38.746882585362,264.51155692266093,0.0
2019-05-14,France,40.72,45.57334740010523,264.4976659680908,0.0
2019-05-15,France,39.73,44.261535459284815,264.4837750135208,0.0
2019-05-16,France,42.11,47.23600735357861,264.4698840589508,0.0
2019-05-17,France,36.85,47.2164934321007,264.45599310438075,0.0
2019-05-18,France,35.22,28.83198841991805,264.4421021498107,0.0
2019-05-19,France,45.49,23.07252508406363,264.4282111952407,0.0
2019-05-20,France,42.65,41.87839066270131,264.41432024067063,0.0
2019-05-21,France,40.09,43.87600074861195,264.4004292861006,0.0
2019-05-22,France,39.67,45.37618330152881,264.3865383315306,0.0
2019-05-23,France,38.81,45.40661045531197,264.3726473769605,0.0
2019-05-24,France,36.68,46.09842105149831,264.35875642239046,0.0
2019-05-25,France,21.34,39.46489405376667,264.34486546782045,0.0
2019-05-26,France,31.83,25.31403453219692,264.3309745132504,0.0
2019-05-27,France,34.52,33.52926624728668,264.31708355868034,0.0
2019-05-28,France,37.49,40.30128314263974,264.30319260411034,0.0
2019-05-29,France,19.29,42.83242934726933,264.2893016495403,0.0
2019-05-30,France,33.82,24.69479953994856,264.2754106949702,0.0
2019-05-31,France,28.88,33.248577746241295,264.2615197404002,0.0
2019-06-02,France,35.22,26.607130459318828,264.2337378312601,0.0
